u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
33004487,10813125727,102506130,primary,3.0,彌敦道 Nathan Road,True,False,48.36508512787361,,,,,,,,,"LINESTRING (114.1710946 22.310275, 114.1710536 22.3107083)",edge,1192,True,0.0,,-3.8435325222727985
33004487,9125470653,102506142,tertiary,2.0,眾坊街 Public Square Street,True,False,1.844748831836047,,,,,,,,,"LINESTRING (114.1710946 22.310275, 114.1710767 22.310274)",edge,37,True,0.0,,0.2888474874531544
33004488,6357916699,102640426,primary,3.0,彌敦道 Nathan Road,True,False,9.798217474423264,,,,,,,,,"LINESTRING (114.1707203 22.3129647, 114.1707379 22.3128781)",edge,1192,True,0.0,,-4.826431524239466
33004488,1151084822,250489279,primary,2.0,窩打老道 Waterloo Road,True,False,10.691958199892865,intersection,,,,,,,,"LINESTRING (114.1707203 22.3129647, 114.1706182 22.3129467)",edge,3146,True,1.0,,-4.846334390639784
34971941,332248875,493744605,trunk,2.0,加士居道天橋 Gascoigne Road Flyover,True,False,55.05452265378669,,viaduct,50.0,5.0,,,,,"LINESTRING (114.1673269 22.3109932, 114.1674198 22.3105056)",edge,0,False,-1.0,,8.711947967459935
245088212,5135751883,996259374,primary,3.0,界限街 Boundary Street,True,False,6.684397819851224,,,,,,,,,"LINESTRING (114.1749927 22.3267428, 114.1750516 22.3267682)",edge,629,True,1.0,,-0.6086978743899625
245088214,8795975506,44810894,primary,4.0,界限街 Boundary Street,True,False,6.072678002800359,,,,,,,,,"LINESTRING (114.1752493 22.3268298, 114.1753073 22.32684)",edge,629,True,0.0,,1.6984876810197918
245088222,1141935426,98702159,primary,1.0,窩打老道 Waterloo Road,True,False,14.769228417574656,,,,,,,,,"LINESTRING (114.1781156 22.32696, 114.178248 22.3270114)",edge,3146,True,0.0,,0.8408311947374142
245088222,8796274169,493988956,primary,3.0,界限街 Boundary Street,True,False,36.79485722745996,,,,,,,,,"LINESTRING (114.1781156 22.32696, 114.1784727 22.3269795)",edge,629,True,0.0,,4.668823692437508
245088222,4773263718,604431993,trunk_link,1.0,,True,False,6.853066500572162,,,50.0,,,,,,"LINESTRING (114.1781156 22.32696, 114.178178 22.3269384)",edge,0,False,0.0,,1.7493210541775586
