start_node,end_node,edge_id,start_long,start_lat,end_long,end_lat
33004487,10813125727,33004487->10813125727,114.1710946,22.310275,114.1710536,22.3107083
33004487,9125470653,33004487->9125470653,114.1710946,22.310275,114.1710767,22.310274
33004488,6357916699,33004488->6357916699,114.1707203,22.3129647,114.1707379,22.3128781
33004488,1151084822,33004488->1151084822,114.1707203,22.3129647,114.1706182,22.3129467
34971941,332248875,34971941->332248875,114.1673269,22.3109932,114.1674198,22.3105056
245088212,5135751883,245088212->5135751883,114.1749927,22.3267428,114.1750516,22.3267682
245088214,8795975506,245088214->8795975506,114.1752493,22.3268298,114.1753073,22.32684
245088222,1141935426,245088222->1141935426,114.1781156,22.32696,114.178248,22.3270114
245088222,8796274169,245088222->8796274169,114.1781156,22.32696,114.1784727,22.3269795
245088222,4773263718,245088222->4773263718,114.1781156,22.32696,114.178178,22.3269384
245088224,4773275058,245088224->4773275058,114.1783956,22.3260437,114.1783971,22.3259048
274242693,332243940,274242693->332243940,114.1661177,22.317279,114.1660873,22.3173639
274242694,4501965596,274242694->4501965596,114.1657,22.3179291,114.1655946,22.3180182
274242695,3230279839,274242695->3230279839,114.1650954,22.3182956,114.1648977,22.3183542
274243014,4773727051,274243014->4773727051,114.1601387,22.3264556,114.1604619,22.3262116
274243015,8446511187,274243015->8446511187,114.1614774,22.3254452,114.1621341,22.3250034
274243016,1181846034,274243016->1181846034,114.1623076,22.3248867,114.1627134,22.324685
274243016,8406879034,274243016->8406879034,114.1623076,22.3248867,114.1623783,22.3248325
274243017,332242393,274243017->332242393,114.1630195,22.324341,114.1632637,22.3241543
274243018,10566992992,274243018->10566992992,114.1647463,22.3229446,114.1649394,22.3227751
274243083,332233448,274243083->332233448,114.166278,22.3174808,114.1662221,22.3177229
274243086,5103661134,274243086->5103661134,114.1673946,22.3117971,114.1674287,22.3114955
274243086,13108528138,274243086->13108528138,114.1673946,22.3117971,114.1675056,22.3115142
275908396,10566992979,275908396->10566992979,114.1652401,22.3226772,114.1652252,22.3227721
275935771,7600185392,275935771->7600185392,114.1720562,22.3273509,114.1720607,22.3274396
275944916,4773693609,275944916->4773693609,114.1669241,22.3272441,114.1669837,22.3272068
275945320,9766361634,275945320->9766361634,114.1713362,22.315553,114.1712659,22.3155404
275945418,3230274782,275945418->3230274782,114.1718679,22.3156488,114.1718209,22.315642
275945418,9766365660,275945418->9766365660,114.1718679,22.3156488,114.1720494,22.3156817
275945538,11235236460,275945538->11235236460,114.1720243,22.3179153,114.1721178,22.3179325
275945538,10565387068,275945538->10565387068,114.1720243,22.3179153,114.1720101,22.3179803
275945653,10726301482,275945653->10726301482,114.1712718,22.3213311,114.1711709,22.3218305
